osm_id;nombre;operador;voltaje;latitud;longitud
772425847;;;;38,9340588;-0,2557154
772796717;Subestación Alhama;Iberdrola Distribución Eléctrica;"132000;66000;20000";37,8107058;-1,3888339
773883758;;Confederación Hidrográfica del Segura;132000;38,1604436;-1,3519071
774716133;;;132000;37,875789;-1,3916456
774723052;Subestación Torres de Cotillas;Iberdrola Distribución Eléctrica;"132000;66000;20000";38,0346201;-1,2838702
774742981;Subestación Linasa;;66000;38,0326302;-1,2550457
775096373;Subestación Repsol Pliego;;"66000;20000";37,9551765;-1,4827999
775324816;;;;38,8671786;-1,1193641
775624289;Subestación Archena;Iberdrola Distribución Eléctrica;"132000;20000";38,1156407;-1,2932021
775884313;Adif Almansa;Adif;66000;38,8686854;-1,1081091
776028771;Subestación Almadenes;Iberdrola Distribución Eléctrica;"132000;66000;20000;5000";38,2368328;-1,5581173
777902448;;;;40,1184619;-0,0530324
789683722;SET Quart;Red Eléctrica de España;220000;39,4805254;-0,5266091
789683723;SET El Oliveral;Iberdrola;"132000;20000";39,4807601;-0,5273891
794190403;;;;40,415501;-1,2217992
795373304;Subestación Baños y Mendigo;Iberdrola Distribución Eléctrica;132000;37,8408262;-1,1085443
798109191;;;;40,4282932;-0,2500802
799310221;;;;40,4307057;-0,251974
799356857;;;;40,4331153;-0,2497455
799356859;;;;40,4331549;-0,2494625
824489349;;;;40,1238048;0,1573967
827538474;;;;38,9675136;-0,1515148
831749563;;;;38,6544152;0,0311686
845179231;;Iberdrola;400000;38,56188;-0,8619021
849347004;;;;37,841981;-0,7719305
852659694;;;;40,6286543;0,5975816
852659696;;;;40,6302205;0,5880359
852659701;;;;40,6286877;0,5865921
853329303;;;;40,7628304;0,5473519
868360294;;;;38,4936468;-0,7995219
872952391;Subestación Torrevieja;Iberdrola Distribución Eléctrica;"220000;20000";37,9740604;-0,6999106
873113861;;;;40,6002598;0,4313566
874002304;;;;40,6296357;0,2945661
893300473;;;;40,3383231;-0,1649181
900544681;;;;38,5002393;-0,8088044
918875226;;;;38,0028545;-1,1093372
921541546;La Muela II;;400000;39,2438023;-0,9316952
935493180;Subestación Eléctrica El Pozo;;"132000;20000";37,8541225;-1,4021329
956969495;;;;38,4986531;-0,7003655
958038757;;;;38,6850604;-0,4730205
963406424;;Electra Valenciana S. A.;;39,4590418;-0,3691937
965335319;Subestación Puerto Escandón;Endesa;132000;40,2889006;-0,9804761
965335320;Subestación PE Puerto Escandón;Molinos del Jalón, S.A.;;40,308476;-0,9680655
967632943;Subestación eléctrica Sanxo Llop;;;38,9707183;-0,1678929
972191097;CT LOS POMARES (ROM);Iberdrola;;38,3508801;-0,8934632
977211056;;;;38,7036143;-0,6342459
977316466;;;;38,6943346;-0,6352411
991536125;;;;38,9312876;-0,099639
1003742277;;;;38,8479765;-0,1487876
1004688785;;;;40,130065;0,1547827
1004688805;;;;40,131256;0,1553341
1005654416;;;;38,852442;-0,1589336
1011349458;;;;38,7586433;-0,0396097
1013850205;CT Hortes-2;;;38,8203109;0,0054971
1013850206;;;;38,820633;0,0061373
1013850464;;;;38,8207361;0,004142
1014956327;;;;38,7544309;-0,0485317
1017222469;;;;38,597611;-0,0539097
1020712341;;;;38,8208187;-0,0072397
1026687772;;Iberdrola;;38,0375538;-1,07643
1026687773;;Iberdrola;;38,0374914;-1,0764172
1026687783;;Iberdrola;;38,0358066;-1,0756404
1026696817;;Iberdrola;;38,0360244;-1,0769252
1026696818;;Iberdrola;;38,036007;-1,0768707
1027465330;;;;39,4411836;-0,3726584
1031628365;;;"20000;400";40,4441241;-0,2716403
1037767632;;;;40,0171649;-0,2781943
1039043344;;;;38,8521059;0,0076128
1039138075;;;;38,8606616;0,0130788
1039701692;;;;38,8494636;0,019519
1044085700;;;;38,8624449;0,020029
1044596455;;;;38,8404438;0,0976244
1049742403;;;;38,8523934;0,0240459
1050282401;;;;38,8510074;0,0096443
1052488549;;;;38,8291988;0,1306633
1056639860;;;;38,0856572;-1,3574305
1065151163;;;;38,6980804;-0,4872492
1069271937;;;;38,7094832;-0,466019
1071667764;;Iberdrola;;38,0458472;-0,9995335
1071786942;;;;38,8359141;0,09247
1073035049;;;;38,8478621;0,0280615
1073056223;;;;38,8465264;0,0173929
1074934402;;;;38,0150554;-0,6858992
1076159192;;;;38,0143977;-0,6974529
1079212980;;;;38,8916466;-0,0486691
1079213483;;;;38,8917022;-0,0462905
1099759141;SET Ibi;Iberdrola;"132000;66000;20000";38,6123803;-0,5877872
1100706857;;;;38,8536728;-0,4456963
1102144773;;;;39,4163849;-0,3987905
1106299641;;;;39,4561948;-0,3472794
1108033064;;;;38,8325868;0,1160848
1108063594;;;;38,838825;0,1030802
1109136409;;;;38,7986506;0,0449672
1121246039;;;;38,9925421;-0,1670253
1124884934;;;;39,9697698;-0,2640051
1125302160;;;;38,8176915;0,0201711
1125424855;;;;38,8193514;0,0176596
1125424856;;;;38,8185874;0,0189703
1125424857;;;;38,8198337;0,0167074
