osm_id;tipo_apoyo;nombre;operador;voltaje;latitud;longitud
1412218551;tower;;;;40,1201589;-0,0715165
1412218552;tower;;;;40,1230239;-0,0679282
1412218553;tower;;;;40,1250987;-0,0653367
1412218554;tower;;;;40,1274848;-0,062338
1412218558;tower;;;;40,1300778;-0,0590872
1412218560;tower;;;;40,1322997;-0,0562962
1412218561;tower;;;;40,134245;-0,053863
1412218563;tower;;;;40,1361561;-0,0509627
1412218564;tower;;;;40,1376559;-0,0486683
1412218566;tower;;;;40,1393676;-0,0460634
1412218570;tower;;;;40,1411927;-0,0431996
1412218572;tower;;;;40,1431811;-0,040234
1412218573;tower;;;;40,1453757;-0,0368821
1412218574;tower;;;;40,1471231;-0,0342132
1412218575;tower;;;;40,1491491;-0,0311423
1412218576;tower;;;;40,1506515;-0,0288496
1412218578;tower;;;;40,1533321;-0,0247678
1412218580;tower;;;;40,1556189;-0,0212724
1412218582;tower;;;;40,1579348;-0,0177255
1412218583;tower;;;;40,1598464;-0,0147882
1412218585;tower;;;;40,1619727;-0,0115416
1412218586;tower;;;;40,1634322;-0,0093037
1412218590;tower;;;;40,1655401;-0,0061062
1412218592;tower;;;;40,1660277;-0,0052147
1412218593;tower;;;;40,1660562;-0,0054188
1412218596;tower;;;;40,1661825;-0,0051644
1413598393;tower;;;;40,6089981;-0,198839
1413598394;tower;;;;40,6100016;-0,1968713
1413598395;tower;;;;40,6101447;-0,1969928
1413598397;tower;;;;40,6126831;-0,198165
1413598398;tower;;;;40,6128461;-0,1949453
1413598399;tower;;;;40,6188425;-0,1967793
1413598400;tower;;;;40,619728;-0,1988021
1413598401;tower;;;;40,6211553;-0,1974953
1413598402;tower;;;;40,624122;-0,1984031
1413598403;tower;;;;40,6272144;-0,1993526
1413598435;tower;;;;40,7264026;-0,1930308
1413598436;tower;;;;40,7278512;-0,1932631
1413598437;tower;;;;40,7335081;-0,1941654
1413598438;tower;;;;40,736422;-0,1946381
1413598439;tower;;;;40,7429353;-0,1956824
1413598440;tower;;;;40,7451223;-0,1960129
1413598441;tower;;;;40,7523032;-0,1970554
1413598442;tower;;;;40,7540753;-0,1973181
1413598444;tower;;;;40,756307;-0,1976439
1413598448;tower;;;;40,757262;-0,1977692
1413598449;tower;;;;40,761551;-0,1983902
1413598450;tower;;;;40,7654727;-0,1989969
1413598451;tower;;;;40,7684129;-0,1993861
1413598452;tower;;;;40,7701499;-0,1996386
1413598453;tower;;;;40,7737414;-0,2001602
1413598454;tower;;;;40,777479;-0,2007039
1413598455;tower;;;;40,780292;-0,2011171
1413598456;tower;;;;40,7862999;-0,2019842
1413598457;tower;;;;40,7880543;-0,2022372
1413598458;tower;;;;40,7897676;-0,2028022
1413598459;tower;;;;40,7918473;-0,2034897
1413598460;tower;;;;40,7954819;-0,2047017
1414718783;tower;;;;39,6493886;-0,2476377
1414718785;tower;;;;39,6494643;-0,2474805
1414822900;tower;;;;39,8051334;-0,2070417
1414822903;tower;;;;39,9354763;-0,1331943
1416184156;tower;;;;40,6159885;-0,1959074
1430300355;tower;;;;37,8787647;-1,1621248
1430300359;tower;;;;37,881819;-1,163628
1430300360;tower;;;;37,8841261;-1,1431614
1430300361;tower;;;;37,8854246;-1,165254
1430300362;tower;;;;37,8868792;-1,1463415
1430300363;tower;;;;37,8884193;-1,1666469
1430300364;tower;;;;37,8897213;-1,149632
1430300365;tower;;;;37,8917102;-1,1682559
1430300366;tower;;;;37,8919149;-1,152111
1430300367;tower;;;;37,8935559;-1,1539314
1430300368;tower;;;;37,8949294;-1,1697533
1430300369;tower;;;;37,8965097;-1,1572251
1430300370;tower;;;;37,8969729;-1,1706895
1430300371;tower;;;;37,8989215;-1,159062
1430300372;tower;;;;37,8999455;-1,1720901
1430300373;tower;;;;37,9014228;-1,161025
1430300374;tower;;;;37,9031076;-1,1737318
1430300375;tower;;;;37,9042957;-1,1635286
1430300376;tower;;;;37,9052312;-1,1748221
1430300377;tower;;;;37,9059856;-1,1647774
1430300378;tower;;;;37,9085607;-1,1669317
1430300379;tower;;;;37,9108006;-1,1772443
1430300380;tower;;;;37,9120751;-1,1696638
1430300381;tower;;;;37,9144156;-1,1779069
1430300382;tower;;;;37,9173928;-1,1739165
1430300383;tower;;;;37,9179349;-1,178669
1430300384;tower;;;;37,920582;-1,1757377
1430300385;tower;;;;37,9215611;-1,1808871
1430300386;tower;;;;37,9233914;-1,1773678
1430300388;tower;;;;37,92613;-1,1827106
1430300389;tower;;;;37,9263186;-1,179037
1430300390;tower;;;;37,9288545;-1,181869
1430300395;tower;;;;37,9294155;-1,1816141
1430300396;tower;;;;37,932514;-1,1843004
1430300397;tower;;;;37,9344744;-1,1849942
1430300398;tower;;;;37,9350454;-1,1844415
1430300399;tower;;;;37,9363736;-1,1850781
1430357292;tower;;;;37,9141129;-1,1664642
1430357295;tower;;;;37,9178029;-1,1676062
1430357297;tower;;;;37,9193584;-1,1680926
1430357298;tower;;;;37,9213492;-1,1680936
1430357303;tower;;;;37,9236514;-1,168007
1430357304;tower;;;;37,9246892;-1,1701547
1430357307;tower;;;;37,9268421;-1,1729538
1430357313;tower;;;;37,9286644;-1,175299
1430357318;tower;;;;37,9306244;-1,1778421
1430357319;tower;;;;37,9324368;-1,1802489
1430357324;tower;;;;37,9342646;-1,1825846
1430357333;tower;;;;37,9440891;-1,1687526
1430357334;tower;;;;37,9456397;-1,1683201
1430357335;tower;;;;37,9476355;-1,1677896
1430357337;tower;;;;37,950826;-1,1677984
1430357345;tower;;;;37,9537079;-1,1678251
1430357346;tower;;;;37,9565336;-1,1678518
1430357347;tower;;;;37,9595064;-1,1667847
1430357348;tower;;;;37,9625913;-1,1656909
1430357349;tower;;;;37,9653115;-1,1646683
1430357350;tower;;;;37,9686204;-1,1634856
1430357356;tower;;;;37,9715857;-1,1624096
1430357358;tower;;;;37,9736957;-1,1626764
1430357360;tower;;;;37,9765487;-1,1630854
1430357362;tower;;;;37,9785305;-1,1634882
1430357363;tower;;;;37,9808564;-1,1640152
1430357364;tower;;;;37,9831513;-1,1645972
1430357368;tower;;;;37,985296;-1,1649706
1430357370;tower;;;;37,9874968;-1,165353
1430525330;tower;;;;37,8847245;-1,1433385
1430525331;tower;;;;37,8873458;-1,1453864
1430525333;tower;;;;37,8899671;-1,1474056
1430525335;tower;;;;37,8919319;-1,1489143
1430525337;tower;;;;37,8985592;-1,1540562
1430525339;tower;;;;37,8993342;-1,1552114
1430525346;tower;;;;37,9007813;-1,1574626
1430525347;tower;;;;37,9021217;-1,1595555
1430525348;tower;;;;37,9036833;-1,1604734
1430525349;tower;;;;37,9054003;-1,1614778
1430525350;tower;;;;37,907419;-1,1626062
1430525361;tower;;;;37,9380868;-1,1857267
1430525368;tower;;;;37,9398318;-1,187878
1430525419;tower;;;;37,9417992;-1,1887824
1430525421;tower;;;;37,9425632;-1,1894729
1430525423;tower;;;;37,9430494;-1,1988944
1430525425;tower;;;;37,9430841;-1,1939493
1436968918;tower;;;;37,8024886;-1,0434232
1436968934;tower;;;;37,8050702;-1,0461092
1436968939;tower;;;;37,807702;-1,0488265
1436968946;tower;;;;37,8102112;-1,0514435
1436968953;tower;;;;37,8127681;-1,0541006
1436968962;tower;;;;37,8154247;-1,0568397
1436968969;tower;;;;37,818043;-1,0595642
1436968976;tower;;;;37,8206568;-1,0622781
1436968989;tower;;;;37,8233521;-1,065073
1436968994;tower;;;;37,8253748;-1,0671673
1436969003;tower;;;;37,8280772;-1,0699718
1436969015;tower;;;;37,8309493;-1,0729493
1436969019;tower;;;;37,8336738;-1,0757777
1436969023;tower;;;;37,8363962;-1,078978
1436969024;tower;;;;37,8389361;-1,0819596
1436969038;tower;;;;37,8416643;-1,0851694
1436969042;tower;;;;37,8445793;-1,0885933
1436969045;tower;;;;37,8473434;-1,0918365
1436969048;tower;;;;37,8499948;-1,0949574
1436969060;tower;;;;37,8528153;-1,0982529
